"strain";"logC0";"logDref";"z";"logN0"
"EGD-e (WT)";"0.99_0.44";"0.86_0.04";"4.68_0.2";"6.04_0.18"
"RsbR1 only";"1.67_0.27";"0.8_0.03";"5.01_0.11";"5.96_0.09"
"ΔsigB";"-0.09_0.61";"0.62_0.03";"4.3_0.13";"6.11_0.16"
